bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
123,0.3875000000000002,0.40000000000000013,[2.277813213206506026805142965971334079527309667 +/- 6.12e-46],2.277813213206506,True,1142,41,214,337,21,20,[191.082149164983265672145233096 +/- 1.95e-28]
124,0.40000000000000013,0.4125000000000001,[2.266547676121884351318255025306238445062465133 +/- 6.83e-46],2.2665476761218843,True,1079,42,201,318,21,20,[196.948308110291419762442541985 +/- 4.25e-28]
125,0.4125000000000001,0.42500000000000004,[2.255481813406720819935429030563883480236159608 +/- 8.04e-46],2.2554818134067207,True,1047,42,195,308,21,20,[202.526579567375980118174249922 +/- 5.34e-29]
126,0.42500000000000004,0.4375,[2.244603162635314966678238301353005301808839439 +/- 7.05e-46],2.244603162635315,True,1081,46,210,308,23,21,[208.849904267833526297283062569 +/- 4.49e-28]
127,0.4375,0.4500000000000002,[2.23366769133935218146508204399635107321755830 +/- 1.07e-45],2.233667691339352,True,1161,50,244,312,25,21,[188.185439582194499475343398193 +/- 3.54e-28]
128,0.4500000000000002,0.46250000000000013,[2.22285136621311148100156969107907286133403813 +/- 4.15e-45],2.2228513662131113,True,1153,50,230,322,25,21,[186.238094817370643656778546443 +/- 9.48e-29]
129,0.46250000000000013,0.4750000000000001,[2.21227532806736519195326689443368751036090984 +/- 2.98e-45],2.2122753280673653,True,1173,50,231,331,25,21,[183.390268741751350216814862705 +/- 4.84e-28]
130,0.4750000000000001,0.48750000000000004,[2.201936974846792849052065393281337156655780861 +/- 6.51e-46],2.201936974846793,True,1183,50,229,338,25,21,[182.410989905531175871402915465 +/- 3.42e-28]
131,0.48750000000000004,0.5,[2.19183388110420471322656754902137223722347505 +/- 5.01e-45],2.1918338811042046,True,1191,50,230,341,25,21,[180.745933024563352540125554403 +/- 1.92e-28]
132,0.5,0.5125000000000002,[2.181961908080358474887768340246326564769783673 +/- 6.41e-46],2.1819619080803583,True,1193,50,230,342,25,21,[179.775648230880241399564067376 +/- 2.22e-28]
