minimum-overlap-center-certificate-v1
target	0.38055925
mean_abs_max	0.003125
second_moment_multiplier	0.88380525548538369
parseval_order	100
parseval_multiplier	0.00043184284660812176
cosine_count	107
cosine	5.94	1.0231474991451657
cosine	8.4575	0.47539869006954977
cosine	12.375	0.051012147225568197
cosine	15.5725	0.034535827340249591
cosine	19.5425	0.016881866622173416
cosine	26.995	0.010009709908187907
cosine	28.0351537178538	0.00000058698886971633483
cosine	34.175	0.0024840435342424936
cosine	34.18	0.0015691586955077867
cosine	37.8159198387371	0.0000029310273840944427
cosine	41.745	0.00039163900372877857
cosine	45.9	0.0012012693360509725
cosine	53	0.000076010287190901186
cosine	53.105	0.00090340917005072251
cosine	60.34	0.00035934523095393741
cosine	64.42	0.00011512364191410752
cosine	65	0.000062506249896620067
cosine	71.975	0.00029696591037234646
cosine	79.125	0.00017921683619640929
cosine	82.7659713650287	0.000004926524116926549
cosine	91	0.000099757254220620155
cosine	94.5455312438347	0.000012515167828251813
cosine	98	0.000074773482228859028
cosine	108.996128574697	0.0000016387297259290573
cosine	110	0.000047935775451845817
cosine	113.496105214177	0.0000066225436710791758
cosine	117	0.000039073760566466649
cosine	120.735330556645	0.0000010658127410903896
cosine	129	0.000027874661887743728
cosine	133	0.0000089296261625066839
cosine	136	0.000032077975672678722
cosine	143.541920462054	0.000013055560939902058
cosine	152	0.000014193973560514474
cosine	155.474404472012	0.000007995982587659509
cosine	159	0.000019894463716320052
cosine	162.659836141697	0.0000022718236167245513
cosine	171	0.000034264651327426573
cosine	174.432849765005	0.0000058142929306947736
cosine	178	0.000053822481622409889
cosine	185	0.000046023411922207088
cosine	186.186675469407	0.0000096941632270310861
cosine	197	0.000054913719239920599
cosine	204	0.000068388239156862184
cosine	205.208036985266	0.0000056555144767129128
cosine	209.875295028494	0.0000086054413050332385
cosine	216	0.00014419101642553764
cosine	220	0.000032005984999504944
cosine	223	0.00037793362633982598
cosine	227	0.000198757951322037
cosine	230	0.0013577436775309652
cosine	233	0.0017371271875440265
cosine	236	0.0045322247002795683
cosine	238	0.0036958043778119666
cosine	239	0.0042143520634719805
cosine	241	0.0032472451094972842
cosine	248	0.00054193694014746164
cosine	251	0.00029213951906841549
cosine	254	0.00018780212329866724
cosine	266	0.000047772676872907282
cosine	269.455914514411	0.0000080898702795055344
cosine	273	0.00003313653332917864
cosine	277	0.000012650584992131927
cosine	280	0.000019531348794468537
cosine	283.738626135547	0.0000075275973439634186
cosine	296	0.000017399784220987489
cosine	303	0.000027576482330535045
cosine	314	0.000034144961168224063
cosine	315	0.00024595110478031545
cosine	318	0.00010123691479486683
cosine	319	0.000060742788334679771
cosine	326.499202093516	0.0000093296929282590849
cosine	330	0.000022744453377915337
cosine	337	0.000016784726805209005
cosine	338.143581453363	0.0000021835608991190677
cosine	344	0.0000077290219900053587
cosine	350.349282850017	0.000001507502623362409
cosine	355.899651799723	0.00000083140611550928983
cosine	361.099449261264	0.00000079201759598718639
cosine	373.432739239654	0.00000097210911083121354
cosine	377	0.0000090709884849937257
cosine	384	0.000098587966478066763
cosine	386	0.00010835854131910977
cosine	387	0.000069381972232966828
cosine	393	0.00017690976411778608
cosine	394	0.00013280627561896929
cosine	395	0.0001219250894073169
cosine	396	0.00027659369851219557
cosine	398	0.00013986129799594264
cosine	404.366791084259	0.0000088908933359661613
cosine	415.288413733943	0.0000015092654356208359
cosine	422.053022302415	0.000000058076894602546698
cosine	426.652538445142	0.0000006244198585578498
cosine	438.328090881876	0.00000026553670599671256
cosine	501.638137304221	0.0000000227010160217761
cosine	513.921713987569	0.000000032683995353689749
cosine	551.44997330736	0.00000001603494896503548
cosine	552.512879758767	0.000000017636594033272907
cosine	612.099732005737	0.000000034347552070562993
cosine	620.157640529409	0.000000026620840239897822
cosine	623.595783058772	0.00000005701484141497775
cosine	631.174090657077	0.000000048408394046633682
cosine	661.267157153517	0.00000004751910707105019
cosine	668.293585234433	0.000000023007423099940588
cosine	717.125213985588	0.00000000059410666122233155
cosine	724.526775775391	0.000000024983486286065855
cosine	736.507334085973	0.000000042657602721039737
cosine	845.04268739252	0.000000020119522157513367
